S1,1,54.79
S1,0,37.91
S1,1,58.0
S1,0,44.16
S1,0,47.75
S1,0,46.93
S1,1,55.15
S1,0,37.8
S1,1,67.16
S1,0,21.32
S1,0,38.73
S1,1,62.48
S1,0,49.12
S1,0,47.92
S1,0,42.36
S1,1,69.41
S1,1,74.89
S1,0,38.83
S1,0,44.38
S1,1,73.36
S1,1,64.71
S1,0,26.65
S1,0,48.18
S1,1,53.23
S1,0,21.84
S1,0,28.83
S1,0,29.13
S1,1,75.84
S1,0,39.69
S1,0,33.48
S1,0,20.03
S1,0,24.95
S1,0,21.77
S1,1,52.49
S1,1,70.57
S1,0,37.71
S1,1,59.48
S1,1,77.41
S1,0,37.79
S1,0,24.71
S1,1,55.44
S1,0,22.04
S1,0,40.8
S1,1,76.61
S1,0,44.33
S1,1,55.02
S1,1,58.83
S1,1,57.93
S1,1,65.19
S1,0,35.98
S1,1,78.47
S1,1,58.8
S1,1,60.48
S1,1,55.4
S1,1,72.16
S1,1,65.06
S1,1,52.16
S1,1,56.09
S1,1,53.47
S1,0,27.67
S1,1,57.94
S1,0,37.56
S1,0,41.59
S1,0,22.39
S1,0,23.36
S1,1,54.72
S1,1,60.97
S1,0,29.67
S1,0,40.89
S1,0,22.22
S1,0,28.94
S1,0,36.38
S1,1,53.91
S1,1,68.34
S1,0,35.71
S1,1,78.73
S1,1,55.56
S1,1,79.71
S1,1,61.84
S1,0,35.96
S1,0,32.4
S1,1,66.21
S1,1,56.88
S1,0,42.66
S1,1,68.34
S1,1,78.14
S1,1,66.45
S1,1,53.16
S1,1,57.13
S1,1,50.79
S1,1,56.21
S1,1,66.93
S1,0,20.85
S1,0,23.18
S1,0,28.04
S1,0,20.03
S1,0,23.2
S1,0,37.54
S1,0,46.02
S1,0,45.56
S1,1,61.45
S1,1,75.38
S1,1,76.17
S1,0,37.79
S1,0,47.07
S1,0,28.34
S1,0,46.35
S1,1,76.5
S1,1,55.1
S1,1,79.64
S1,1,65.65
S1,1,66.84
S1,1,69.81
S1,0,47.34
S1,0,23.72
S1,0,38.62
S1,0,48.48
S1,0,40.16
S1,0,21.5
S1,0,49.23
S1,1,78.77
S1,1,59.59
S1,0,29.98
S1,0,24.71
S1,1,56.12
S1,0,49.04
S1,0,36.14
S1,0,27.04
S1,1,62.14
S1,0,20.99
S1,1,60.3
S1,1,63.09
S1,0,38.36
S1,1,58.81
S1,0,43.65
S1,0,45.8
S1,1,71.58
S1,1,54.04
S1,1,76.06
S1,1,70.44
S1,0,23.0
S1,0,31.67
S1,1,53.02
S1,0,39.3
S1,0,30.23
S1,0,47.41
S1,0,24.57
S1,0,35.98
S1,1,69.99
S1,0,28.8
S1,0,44.6
